num_samples,rff_dim,runtime_sec,memory_mb
500,100,0.02240896224975586,0.9203643798828125
500,300,0.04143404960632324,3.2133636474609375
500,500,0.0637674331665039,6.117073059082031
1000,100,0.0334162712097168,1.6828384399414062
1000,300,0.0599822998046875,5.502082824707031
1000,500,0.09766769409179688,9.931716918945312
2000,100,0.0455474853515625,3.2086563110351562
2000,300,0.1139523983001709,10.079658508300781
2000,500,0.203125,17.561019897460938
5000,100,0.11338567733764648,7.7862396240234375
5000,300,0.3176455497741699,23.812545776367188
5000,500,0.5361413955688477,40.44920349121094
